what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1343491829988
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1343491829990
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1343491829992
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1343491829993
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1343491829994
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1343491830015
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1343491830016
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1343491830017
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1343491830019
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1343491830020
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1343491830021
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1343491830071
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1343491830072
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1343491830073
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1343491830074
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1343491830075
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1343491830097
started,bundle,com.collabnet.subversion.merge,3.0.7,"com.collabnet.subversion.merge",1343491830124
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1343491830155
started,bundle,org.tigris.subversion.clientadapter,1.8.1,"org.tigris.subversion.clientadapter",1343491830156
started,bundle,org.tigris.subversion.subclipse.core,1.8.5,"org.tigris.subversion.subclipse.core",1343491830190
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1343491830191
started,bundle,org.tigris.subversion.subclipse.ui,1.8.5,"org.tigris.subversion.subclipse.ui",1343491830239
os,sysinfo,,,"win32",1343491830242
arch,sysinfo,,,"x86_64",1343491830242
ws,sysinfo,,,"win32",1343491830242
locale,sysinfo,,,"en_US",1343491830242
processors,sysinfo,,,"2",1343491830242
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343491830242
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1343491830242
java.specification.name,sysinfo,,,"Java Platform API Specification",1343491830243
java.specification.vendor,sysinfo,,,"Oracle Corporation",1343491830243
java.specification.version,sysinfo,,,"1.7",1343491830243
java.vendor,sysinfo,,,"Oracle Corporation",1343491830243
java.version,sysinfo,,,"1.7.0_02",1343491830243
java.vm.info,sysinfo,,,"mixed mode",1343491830243
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343491830243
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343491830243
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1343491830243
java.vm.specification.version,sysinfo,,,"1.7",1343491830243
java.vm.vendor,sysinfo,,,"Oracle Corporation",1343491830243
java.vm.version,sysinfo,,,"22.0-b10",1343491830243
