what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.8.5,"org.tigris.subversion.subclipse.core",1361394288787
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1361394288788
started,bundle,org.tigris.subversion.subclipse.ui,1.8.5,"org.tigris.subversion.subclipse.ui",1361394288789
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1361394288793
os,sysinfo,,,"win32",1361394288823
arch,sysinfo,,,"x86_64",1361394288823
ws,sysinfo,,,"win32",1361394288823
locale,sysinfo,,,"en_US",1361394288823
processors,sysinfo,,,"2",1361394288823
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361394288823
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1361394288823
java.specification.name,sysinfo,,,"Java Platform API Specification",1361394288823
java.specification.vendor,sysinfo,,,"Oracle Corporation",1361394288823
java.specification.version,sysinfo,,,"1.7",1361394288823
java.vendor,sysinfo,,,"Oracle Corporation",1361394288823
java.version,sysinfo,,,"1.7.0_02",1361394288823
java.vm.info,sysinfo,,,"mixed mode",1361394288823
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1361394288823
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361394288823
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1361394288823
java.vm.specification.version,sysinfo,,,"1.7",1361394288823
java.vm.vendor,sysinfo,,,"Oracle Corporation",1361394288823
java.vm.version,sysinfo,,,"22.0-b10",1361394288823
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1361394288827
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1361394288835
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1361394288859
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1361394288867
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1361394288990
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1361394289018
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1361394289021
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1361394289022
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1361394289266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361394293627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361394298521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361394301341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361394319689
